country,GDPperCapita,lifeSatisfaction,logGDPperCapita,centeredLogGDP,cLabel
Afghanistan,1809.01648837218,3.982854604999999,25005.54541510859,-5915.125437770552,NA
Albania,10970.4522447693,4.6066508289999994,31014.520507899313,93.84965502017076,NA
Argentina,19116.907914513205,6.697130679999999,32866.0237630594,1945.352910180256,NA
Armenia,8195.93364956571,4.3483195299999995,30042.48351766132,-878.1873352178227,NA
Australia,43923.25826934661,7.309060574,35639.34236539319,4718.671512514047,NA
Austria,44304.967756786995,7.076447010000001,35668.18945436881,4747.518601489668,NA
Azerbaijan,16698.863653253804,5.146774768999999,32415.181142852845,1494.510289973703,NA
Bahrain,43926.47403631601,6.007375239999999,35639.5864374184,4718.91558453926,NA
Bangladesh,3132.56754015214,4.633473873,26836.052095049505,-4084.6187578296376,NA
Belarus,17229.555190404502,5.718907832999999,32519.481990916014,1598.8111380368755,NA
Belgium,41708.2123401731,6.904219151,35466.83005078028,4546.1591979011355,NA
Benin,1987.14191963108,3.624664307,25318.639250079475,-5602.031602799667,NA
Bhutan,7743.337995678469,5.082128525,29853.10420093186,-1067.5666519472834,NA
Bolivia,6531.51939817124,5.834329128,29285.70822740856,-1634.9626254705836,NA
Bosnia and Herzegovina,10932.4594822386,5.117177962999999,31002.95477035593,82.28391747678324,NA
Botswana,15356.770924722,3.7619647980000006,32135.858609422557,1215.1877565434152,NA
Brazil,14702.591268031703,6.546896935,31990.727762891212,1070.05691001207,NA
Bulgaria,17000.178038067897,4.8654012679999985,32474.80056543365,1554.1297125545061,NA
Burkina Faso,1596.3345805199597,4.418930054,24588.572191527783,-6332.09866135136,NA
Cambodia,3290.9524538544206,4.162164687999999,27000.49026875838,-3920.1805841207606,NA
Cameroon,3289.06454559229,5.037964820999999,26998.57721241807,-3922.093640461073,NA
Canada,43149.475837030506,7.412772655,35580.08777592831,4659.416923049168,NA
Chad,2067.10132178618,4.322675227999999,25450.15868462204,-5470.512168257101,NA
Chile,22516.6078575125,6.532749653000001,33411.70556341687,2491.0347105377296,NA
China,13569.8915267324,5.303877830999999,31723.453430490037,802.7825776108948,NA
Colombia,12985.3831345266,6.387571811999999,31576.667651709377,655.9967988302342,NA
Congo,5542.892981985731,4.690830230999999,28738.54939497426,-2182.121457904883,NA
Costa Rica,14738.6076210904,6.8540043829999995,31998.884535162742,1078.2136822836037,NA
Cote d'Ivoire,3241.61205578936,4.445038795000001,26950.128488065875,-3970.5423648132673,NA
Croatia,20983.9852751789,5.205438137,33176.69157476256,2256.0207218834184,NA
Cyprus,30549.100969678693,5.439161301000001,34428.79840715203,3508.127554272891,NA
Czech Republic,30605.420521147094,6.608017445,34434.938919581866,3514.268066702723,NA
Democratic Republic of Congo,812.4033700917921,3.902741671,22336.67309106156,-8583.99776181758,NA
Denmark,45458.69714883099,7.514424800999999,35753.89347067984,4833.222617800697,NA
Dominican Republic,13395.916802055,5.061862469,31680.43519254649,759.7643396673484,NA
Ecuador,10749.1288738874,5.964075089,30946.57437558828,25.903522709137174,NA
Egypt,10095.610167712102,4.762538433,30737.462935817915,-183.2079170612269,NA
El Salvador,7019.59178870445,6.018496036999999,29525.96249403738,-1394.708358841763,NA
Estonia,27549.5813697378,5.628908633999999,34084.25367967407,3163.5828267949255,NA
Ethiopia,1533.10763199973,4.573154925999999,24453.840964206087,-6466.829888673055,NA
Finland,38941.76360305509,7.447925567999999,35238.026540979066,4317.355688099924,NA
France,37766.3741116872,6.357625007999999,35135.85069689412,4215.17984401498,NA
Gabon,16836.783421162505,4.661012649999999,32442.602955079055,1521.932102199913,NA
Georgia,9025.133142656125,4.121940613,30363.782109081618,-556.8887437975245,NA
Germany,43937.9471317278,7.037137507999999,35640.45708306411,4719.786230184967,NA
Ghana,3926.7090447908095,3.985916138,27589.32744119484,-3331.343411684302,NA
Greece,24170.301836987197,5.622519015999998,33647.97939337849,2727.308540499347,NA
Guatemala,7292.71910386634,6.4649868009999985,29653.21958150084,-1267.4512713783042,NA
Guinea,1758.3155952715802,3.5046935080000003,24910.774474445676,-6009.896378433466,NA
Haiti,1651.22844549164,3.569762468,24701.287126539497,-6219.383726339645,NA
Honduras,4319.470118298309,4.845436572999999,27907.145287816064,-3013.525565063079,NA
Hungary,25034.4507306605,5.344383239999999,33765.09103248658,2844.4201796074412,NA
Iceland,43048.1251452787,7.498070717,35572.247964521885,4651.577111642742,NA
India,5756.664664893072,4.342079163,28864.70728948745,-2055.9635633916914,NA
Indonesia,10367.7019920006,5.04279995,30826.125244625924,-94.54560825321823,NA
Iran,16500.900512388398,4.749955654,32375.422792070895,1454.7519391917558,NA
Iraq,15072.868671097398,4.493377209,32073.64885172151,1152.9779988423688,NA
Ireland,60818.0462398536,6.830125332,36724.31366913762,5803.642816258478,NA
Israel,32024.352770539397,7.07941103,34586.02658807539,3665.355735196245,NA
Italy,34302.037402654394,5.8476839069999995,34815.08798859859,3894.41713571945,NA
Japan,37882.98062444101,5.879684448,35146.12829900781,4225.457446128668,NA
Jordan,8491.050311040448,5.404593468,30160.416435198,-760.2544176811425,NA
Kazakhstan,23524.060444627605,5.949995041,33557.629388123496,2636.9585352443537,NA
Kenya,2835.9966103287197,4.357617854999999,26504.470517030742,-4416.2003358484,NA
Kuwait,68476.32504056892,6.146031856999999,37119.71132557643,6199.040472697285,NA
Kyrgyzstan,3237.60293714448,4.9053759569999995,26946.002761416665,-3974.6680914624776,NA
Latvia,23018.8161056707,5.880597591,33485.24595592464,2564.5751030454994,NA
Lebanon,13352.7133932764,5.171971321,31669.66581202742,748.9949591482764,NA
Liberia,785.2468866547371,2.7015912530000006,22223.326744559785,-8697.344108319357,NA
Libya,14847.197052437201,5.6154046059999985,32023.357128880136,1102.6862760009935,NA
Lithuania,27045.713019289,5.711378098000001,34022.71501393569,3102.0441610565467,NA
Luxembourg,94088.5922250508,6.701571465000001,38179.0326694078,7258.361816528661,NA
Macedonia,12759.8166020197,4.975589752,31518.247404822872,597.57655194373,NA
Madagascar,1377.1682126910098,3.592514038,24096.229211943093,-6824.441640936049,NA
Malawi,1088.70180507011,3.86763835,23312.633732143437,-7608.037120735706,NA
Malaysia,25001.612673149397,6.3221211429999995,33760.71512366475,2840.0442707856055,NA
Mali,1919.2284214274,4.582098484000001,25202.708051676094,-5717.962801203048,NA
Malta,34087.08151380451,6.613394259999999,34794.13057685369,3873.459723974549,NA
Mauritania,3601.61422339351,3.922664165,27301.219095121996,-3619.451757757146,NA
Mexico,16938.605405799502,6.236287117000001,32462.703896270992,1542.0330433918498,NA
Moldova,4746.7849111142295,6.017472266999999,28221.641756597557,-2699.029096281585,NA
Mongolia,11411.9421058207,4.982719898,31146.05643837716,225.38558549801743,NA
Montenegro,15289.7211914952,5.124921321999999,32121.27077406716,1200.599921188019,NA
Morocco,7296.93440143191,5.163156985999999,29655.14602887186,-1265.524824007283,NA
Mozambique,1118.22284417198,4.549767494000002,23401.829431850332,-7518.84142102881,NA
Myanmar,5056.85904071061,4.223846436,28432.60012589681,-2488.0707269823324,NA
Nepal,2314.2748810062394,4.812436580999999,25826.712202564548,-5093.958650314595,NA
Netherlands,46494.36425780781,7.324437140999999,35828.994559471364,4908.323706592222,NA
New Zealand,35309.8237244851,7.418120860999999,34911.62401877204,3990.9531658928977,NA
Nicaragua,4956.92129771835,5.924112796999999,28366.054460368687,-2554.6163925104556,NA
Niger,908.176270909368,3.671453714,22708.200518046673,-8212.47033483247,NA
Nigeria,5670.63944311027,4.932914734,28814.511868961472,-2106.1589839176704,NA
Norway,64008.286830346115,7.603433609,36894.75922624064,5974.088373361497,Norway
Pakistan,4695.69987892337,4.823194980999999,28185.568488319335,-2735.102364559807,NA
Palestine,4713.49958664497,4.695239066999999,28198.181958675792,-2722.4888942033504,NA
Panama,20786.659687859497,6.605550288999999,33145.193114067835,2224.522261188693,NA
Paraguay,8639.286849707369,5.559724331,30218.116203922065,-702.554648957077,NA
Peru,11770.034448234504,5.577263355000001,31249.060178545697,328.3893256665542,NA
Philippines,6874.582565517391,5.547489165999999,29456.371582076357,-1464.299270802785,NA
Poland,25299.974348489697,6.007021904,33800.264561979544,2879.5937091004016,NA
Portugal,26607.8331233896,5.080866337,33968.29732492438,3047.626472045238,NA
Qatar,119749.428536152,6.374529362,38983.03542982771,8062.364576948574,NA
Romania,20556.003642336294,5.777491093000001,33107.99295694086,2187.322104061721,NA
Russia,24516.549950271197,5.995538712,33695.398888049676,2774.728035170534,NA
Rwanda,1731.0434226774596,3.483108997,24858.660187355315,-6062.010665523827,NA
Saudi Arabia,50723.7126450691,6.345491886,36119.246087817904,5198.575234938762,NA
Senegal,2293.8535392657805,4.617000579999999,25797.16363586911,-5123.507217010028,NA
Serbia,13277.8001173574,5.317685126999999,31650.909205386837,730.2383525076948,NA
Sierra Leone,1314.2737277159,4.908617973,23940.38865266399,-6980.2822002151515,NA
Singapore,81741.09693552897,6.6195249559999985,37710.02929615684,6789.358443277699,NA
Slovakia,28308.879769853495,6.162004470999999,34174.89456651015,3254.223713631007,NA
Slovenia,29037.7416756681,5.740642071000001,34259.64358540151,3338.972732522365,NA
South Africa,12377.659259832904,4.887325764,31416.87310212419,496.20224924504873,NA
South Korea,34177.65447032211,5.780211449,34802.97717421042,3882.306321331278,NA
South Sudan,1875.38006599798,4.070771217,25125.656827356233,-5795.014025522909,NA
Spain,32291.1551993266,6.380663395000002,34613.686477710144,3693.015624831002,NA
Sri Lanka,11079.710677356004,4.611606598,31047.55902866834,126.8881757891977,NA
Sweden,45679.2779973863,7.28892231,35770.03122697364,4849.360374094496,NA
Switzerland,57264.1573970635,7.5721368789999985,36523.578046662034,5602.907193782892,NA
Tajikistan,2640.5895195793205,5.124210834999999,26266.46409541034,-4654.206757468801,NA
Tanzania,2490.9571005653806,3.660597324,26071.98432680716,-4848.686526071982,NA
Thailand,15252.2282530581,6.201762676,32113.085620725575,1192.4147678464324,NA
Togo,1351.05396273243,3.768301964,24032.405073185768,-6888.2657796933745,NA
Tunisia,10765.8862472411,5.131611824,30951.767613931752,31.09676105260951,NA
Turkey,23388.4813019367,5.5144653319999994,33538.359508325455,2617.6886554463126,NA
Turkmenistan,14992.3231371601,5.791460037,32055.785933832056,1135.1150809529136,NA
Uganda,1665.94990533102,4.237686634,24730.87806810613,-6189.792784773013,NA
Ukraine,7464.93983359294,3.964542866,29731.034263881807,-1189.636588997335,NA
United Arab Emirates,66569.40341444171,6.568397522,37025.553865155904,6104.883012276761,NA
United Kingdom,38839.1669568199,6.515445231999999,35229.23157510631,4308.560722227165,NA
United States,53005.6361464627,6.863946915,36265.9505690769,5345.279716197758,United States
Uruguay,19831.445898518807,6.628080367999998,32988.361043253884,2067.690190374742,NA
Uzbekistan,5700.23602764231,5.972364426,28831.866786338487,-2088.804066540655,NA
Vietnam,5554.8580556466095,5.076315403000001,28745.738162577378,-2174.932690301768,NA
Yemen,2308.63658440647,2.9826738829999995,25818.580032840924,-5102.090820038218,Yemen
Zambia,3627.20204093772,4.843164444,27324.82071164594,-3595.8501412332007,NA
Zimbabwe,1912.28026054006,3.703191280000001,25190.61671246096,-5730.054140418182,NA
